0130,1453
0131,2575
0132,1992
0133,1625
0134,1454
0135,1215
0136,1202
0137,1056
0138,1089
0139,1028
0141,1075
0142,875
0143,1095
0144,1002
0145,1041
0146,952
0147,768
0148,892
0149,1348
014a,651
014b,682
014c,941
014d,820
014e,824
014f,973
0150,1132
0151,509
0152,1106
0153,1100
0154,1092
0155,804
0156,606
0157,655
0158,350
0159,491
015a,462
0161,1343
0162,1070
0163,975
0164,1355
0165,1378
0166,900
0167,1073
0168,1658
0169,2239
016a,378
016b,725
016c,2152
016d,1063
016e,1944
016f,1092
0170,1026
0171,609
0172,1127
0173,1363
0174,1272
0175,1443
0176,845
0177,809
0178,767
0179,833
017a,583
01c5,1
01c9,1
01d3,1
01d4,1
01e9,26
01ea,1
01f3,2
0243,843
0244,875
0248,305
024b,647
024e,188
0250,978
0252,1506
0255,759
0257,398
0258,746
0441,30
0442,60
0443,92
0444,41
0445,30
0446,74
0447,40
0448,41
0449,30
044a,30
044b,27
044c,32
044d,58
044e,22
044f,68
0450,33
0451,25
0452,49
0453,61
0454,38
0455,29
0456,39
0457,37
0458,39
0459,30
045a,29
0841,56
0842,30
0843,120
0844,35
0845,64
0846,58
0847,30
0848,29
0849,30
084a,30
084b,34
084c,32
084d,35
084e,89
084f,28
0850,62
0851,58
0852,134
0853,29
0854,36
0855,30
0856,35
0857,30
0858,30
0859,30
085a,117
0980,30
0981,30
0982,218
0983,281
0984,137
0985,169
0986,30
142c,1404
142e,1576
143a,868
143b,705
1460,95
14b7,1165
1821,410
1823,380
1824,67
1825,98
183f,287
1840,62
1853,30
1881,1365
1882,585
1883,373
1887,46
1888,50
1889,111
188a,12
188b,155
188c,500
188d,344
188e,251
188f,141
1890,125
1891,108
1892,271
1894,59
18a0,312
18a1,115
18a2,38
18a6,96
18b0,5
18b2,58
197c,1114
1980,2323
1981,2338
1982,990
1983,981
1984,949
1985,933
1986,30
1987,30
1988,39
1989,58
19a0,44
19a1,44
19a2,11
19a3,10
19a4,434
19a5,426
1a80,356
1a81,229
1a82,962
1a84,144
1a85,30
1b80,112
1b81,1666
1b82,102
1b83,323
1b84,173
1b85,312
1b86,184
1b87,260
1b88,90
1b89,90
1b8a,50
1b8b,74
1b8c,30
1b8d,30
1b8e,235
1c26,150
1c2a,1378
1c2b,1632
1c2d,2825
1c2f,1338
1c5c,277
1c80,440
1c81,58
1c82,834
1c83,64
1c84,499
1c85,88
1c86,384
1c87,949
1c88,921
1c89,279
1c8a,503
1ca1,15
1ca2,1
1ca5,529
1d3c,1016
1d3d,1742
1d3e,781
1d80,1391
1d81,57
1d82,504
1d83,218
1d84,29
1d85,29
1d86,751
1d87,479
1d88,350
1d89,362
1d8e,194
1d8f,98
1d90,384
1d91,39
1d92,756
1d93,159
1d94,30
1d95,454
1d97,1445
1d98,216
1d99,198
1d9a,249
1d9b,104
1d9c,91
1d9d,110
1d9e,57
1d9f,303
1da0,85
1da1,30
1da2,38
1da3,30
1db1,9
1db2,262
1db3,74
1db4,11
1db5,11
1db6,30
1db7,30
1db8,52
1db9,30
1dba,30
1dbb,30
1dbc,39
1dbd,38
1dbe,48
1dbf,30
1dc0,39
1dc1,30
1dc2,104
1dc3,30
1dc4,30
1dc5,44
1dcc,1
33f0,1194
33f1,99
33f2,128
33f5,61
4130,29
4131,142
4132,62
4133,50
4134,20
4135,44
4136,48
4137,18
4138,30
4139,22
4141,740
4142,538
4143,618
4144,629
4145,476
4146,397
4147,508
4148,513
4149,465
414a,395
414b,535
414c,531
414d,465
414e,577
414f,340
4150,594
4151,386
4152,687
4153,622
4154,596
4155,384
4156,386
4157,272
4158,443
4159,313
415a,313
4161,815
4162,679
4163,629
4164,640
4165,632
4166,624
4167,451
4168,506
4169,1131
416a,576
416b,839
416c,670
416d,725
416e,1135
416f,423
4170,649
4171,484
4172,837
4173,630
4174,789
4175,514
4176,486
4177,496
4178,865
4179,596
417a,667
41e9,1
4261,1626
4262,1217
4263,1204
4264,1219
4265,1293
4266,605
4267,796
4268,1230
4269,167
426a,360
426b,1166
426c,1166
426d,1145
426e,1027
4270,1322
4271,1011
4272,1469
4273,1255
4275,742
4276,582
4277,877
4278,861
427b,135
427e,846
4980,30
4981,30
4982,86
4983,82
4984,50
4985,41
4986,30
code,frequency
